node_id,node_type,name,country,owner,status,capacity_mt_day,demand_mt_day,latitude,longitude
gaoming_distribution_station_mingcheng_town_gaoming_district_china,import_port,"Gaoming Distribution Station, Mingcheng Town, Gaoming District",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,19728.2,0.0,,
raoping_china,international_source,Raoping,China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,17536.18,0.0,,
lianhua_town_china,import_port,Lianhua Town,China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,17536.18,0.0,,
haifeng_china,international_source,Haifeng,China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,12582.21,0.0,,
huilai_county_china,import_port,Huilai County,China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,12582.21,0.0,,
zhongkai_high_tech_zone_china,international_source,Zhongkai High-tech Zone,China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,8000.88,0.0,22.971622,114.488195
haifeng_county_china,import_port,Haifeng County,China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,8000.88,0.0,22.905566,115.332356
boluo_china,international_source,Boluo,China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,657.61,0.0,,
yuancheng_china,import_port,Yuancheng,China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,657.61,0.0,,
huilai_china,international_source,Huilai,China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,11617.72,0.0,22.94086,116.377666
fuyang_chaoan_district_china,import_port,"Fuyang, Chaoan District",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,11617.72,0.0,23.241111,116.616222
fuyang_china,international_source,Fuyang,China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,2783.87,0.0,,
meixian_district_china,import_port,Meixian District,China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,2783.87,0.0,,
gongguan_town_maonan_district_china,international_source,"Gongguan Town, Maonan District",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,8768.09,0.0,,
hongfeng_yangdong_china,import_port,"Hongfeng, Yangdong",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,8768.09,0.0,,
hailing_bay_first_station_china,international_source,"Hailing Bay, first station",China,Guangdong Yangjiang Hailingwan LNG Co Ltd [100.00%],operating,14620.79,0.0,,
